Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
AIRE DE PIQUE-NIQUE LE TERTRE ROUGE;Aire de pique-nique##Jeux pour enfants;;;Le Tertre rouge;;44390;PETIT-MARS;;44122;47.3895959;-1.4338682;;;;;;;;;;Aire de pique nique##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;oui;;47.3895959,-1.4338682;Loire-Atlantique
AIRE DE PIQUE-NIQUE SUR L'ÎLE DE CHALONNES;Aire de pique-nique;;;;La Basse île;49290;CHALONNES-SUR-LOIRE;;49063;47.373558;-0.8099469;;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.373558,-0.8099469;Maine-et-Loire
"AIRE DE PIQUE-NIQUE À ""LA HAIE LONGUE"" - SAINT AUBIN DE LUIGNÉ";Aire de pique-nique;;;;Port du Pâtis - La Haie Longue;49190;VAL-DU-LAYON;;49292;47.3455538;-0.6931112;;;;02 41 78 33 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3455538,-0.6931112;Maine-et-Loire
AIRE D’ARRÊT VÉLO DE NANTES;Aire d'arrêt Vélo;;;;;44100;NANTES;;44109;47.205424;-1.567021;;;;;;;https://www.nantes-tourisme.com/fr;;;Aire de pique nique##Toilettes;;;La Vélodyssée;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;oui;;47.205424,-1.567021;Loire-Atlantique
AIRES DE PIQUE NIQUE / AIRES DE JEUX - GORRON;Aire de pique-nique##Jeux pour enfants;Promenade Saint Laurent;;Parc de Loisirs de la Colmont;Le Taillis;53120;GORRON;;53107;48.4085801;-0.8168657;Route (nationale/départ.)||D33||1,2##Autoroute||A84||39,9##Gare routière||FOUGERES||32##Gare SNCF||LAVAL||50;En extérieur ombragé##En extérieur soleil;;02 43 30 10 50;;ville.gorron@gorron.fr;http://www.gorron.fr;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;oui;;48.4085801,-0.8168657;Mayenne
AIRES DE PIQUE NIQUE DE BRANGOURÉ;Aire de pique-nique;;;La Croix de Brangouré;;44117;SAINT-ANDRE-DES-EAUX;;44151;47.3116266;-2.3257441;Itinéraire de randonnée||Les Gascieux||0##Itinéraire de randonnée||Les Charmes de la Brière (vélo)||0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.3116266,-2.3257441;Loire-Atlantique
AKWA NATURE;Barque/Chaland;;;Aire des Potinières;;44170;MARSAC-SUR-DON;;44091;47.6229524;-1.7532097;;;06 78 11 30 64;;;;http://www.akwanature.com;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;||||D'avril à septembre : du jeudi au dimanche - 10h à 18h (le matin sur réservation)||||||||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||##||||Juillet et août : tous les jours 10h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 78 11 30 64||;;;"Tarif indiv. adulte||12,00||||Formule 1/2 journée et journée;1/2 tarif pour le s moins  de 12 ans";;;47.6229524,-1.7532097;Loire-Atlantique
AMICALE BOULISTE THARONNAISE;Boulodrome;;;Avenue de la Convention;Tharon-Plage;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.16588;-2.1624;;;06 25 55 20 60;;;jj.folliot@orange.fr;;;;Parking##Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||||14:30||19:00||||;;;;;;Chèques bancaires et postaux##Espèces;47.16588,-2.1624;Loire-Atlantique
ANJOU NAVIGATION - CROISIERES SUR LA SARTHE;Base ou club nautique##Formules itinérantes##Halte fluviale##Ponton##Port de plaisance;;;QUAI NATIONAL;BP 21;72300;SABLE-SUR-SARTHE;;72264;47.8392923;-0.331083;Route (nationale/départ.)||Sablé sur Sarthe||0##Autoroute||Louailles||15##Aéroport/aérodrome||Angers||40##Gare SNCF||||1,5##Gare routière||Sablé sur Sarthe||1,5##Halte fluviale||||0;En extérieur soleil;;02 43 95 14 42;;contact@anjou-navigation.fr;www.anjou-navigation.fr;Facebook||https://www.facebook.com/anjou.navigation?fref=ts##Instagram||https://www.instagram.com/anjounavigation/;Location/prêt de vélo##WiFi;Toilettes;oui;Supplément 40 Euros;Welcome ! C’est beau ici !;;oui;;;;;Allemand##Anglais##Espagnol##Français;;;;;;;;;;;;;;;;;oui;;;;;Tarif groupe adulte||||||Prix pour un Week end à deux personnes hors saison jusqu'à 12 personnes en pleine saison.##Tarif groupe adulte||||||Prix pour une semaine à deux personnes hors saison jusqu'à 12 personnes en pleine saison.;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.8392923,-0.331083;Sarthe
ANJOU RIDE;Formules itinérantes##Quad;;La clef;Route de Rochefort;;49190;DENEE;;49120;47.3728057;-0.6171245;;;06 80 37 66 99;;;anjou.ride@gmail.com;https://anjou-ride.fr/;Facebook||https://www.facebook.com/Anjou-Ride-102771035018084/;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Sur RDV ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Anjou Ruide||06 80 37 66 99||anjouride@gmail.com;;;Tarif indiv. adulte||60,00||120,00||Randonnée mobylette ##Tarif indiv. adulte||40,00||170,00||Randonnée moto et quad;non;Cartes bancaires##Chèques Vacances##Espèces##Virement;47.3728057,-0.6171245;Maine-et-Loire
ANJOU SPORT NATURE - LOCATION DE MINI-PÉNICHES;Formules itinérantes;;;Route de la Mayenne;;49220;LA JAILLE-YVON;;49161;47.719309;-0.672458;Route (nationale/départ.)||RN 162||3##Itinéraire de randonnée||VéloFrancette V23||0;En extérieur ombragé##En extérieur soleil##A l'abri;;02 41 95 14 32;;contact@anjousportnature.com;https://anjousportnature.com/nos-activites/mini-peniche/;Facebook||https://fr-fr.facebook.com/pages/Anjou-Sport-Nature/173489372666782##Instagram||https://www.instagram.com/anjousportnature/;;;non;;;;oui;Pratique libre;Croisières fluviales;;;Anglais##Français;;;;;;;;;;;;;;A la Jaille-Yvon, location de mini-péniches avec la base de loisirs multi-activités Anjou Sport Nature.;LA JAILLE-YVON;LA JAILLE-YVON;non;27/09/2021||01/04/2022||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/04/2022||06/07/2022||Base de loisirs ouverte tous les weekends et jours fériés de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs ouverte tous les jours de 10h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||02/10/2022||Base de loisirs ouverte tous les weekends de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##03/10/2022||31/03/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 41 95 14 32||contact@anjousportnature.com;oui;||https://anjousportnature.qweekle.com/shop/anjou-sport-nature/multi/mini-peniche?lang=fr||||||;"Tarif groupe adulte||140,00||210,00||Tarifs par bateau (10 pers max): 140€ la demi-journée, 210€ la journée, incluant la location, l'initiation ""prise en main"" et le carburant.";non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.719309,-0.672458;Maine-et-Loire
ANJOU SPORT NATURE - PAINT-BALL;Activités sportives et ludiques;;;Route de la Mayenne;;49220;LA JAILLE-YVON;;49161;47.719309;-0.672458;Route (nationale/départ.)||RN 162||3##Itinéraire de randonnée||VéloFrancette V23||0;En extérieur ombragé##En extérieur soleil;;02 41 95 14 32;;contact@anjousportnature.com;http://anjousportnature.com/;Facebook||https://fr-fr.facebook.com/pages/Anjou-Sport-Nature/173489372666782##Instagram||https://www.instagram.com/anjousportnature/;;;non;;;;oui;Accompagnement;;Paint-ball;;Anglais##Français;;;;;;;;;;;;;;Paint-ball à la base de loisirs multi-activités Anjou Sport Nature à La Jaille-Yvon.;LA JAILLE-YVON;LA JAILLE-YVON;non;27/09/2021||01/04/2022||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/04/2022||06/07/2022||Base de loisirs ouverte tous les weekends et jours fériés de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs ouverte tous les jours de 10h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||02/10/2022||Base de loisirs ouverte tous les weekends de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##03/10/2022||31/03/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 41 95 14 32||contact@anjousportnature.com;oui;||https://anjousportnature.qweekle.com/shop/anjou-sport-nature/multi/paintball?lang=fr||||||;Tarif indiv. enfant||13,00||||Tarif junior (9 à 11 ans) - forfait de 100 billes. Protections et combinaisons fournies.##Tarif indiv. adulte||21,00||32,00||Tarif (12 ans et +) - forfait de 150 à 400 billes. Protections fournies, combinaison en option (2€);non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.719309,-0.672458;Maine-et-Loire
ANJOU SPORT NATURE - PARCOURS ACROBRANCHE;Activités sportives et ludiques;;;Route de la Mayenne;;49220;LA JAILLE-YVON;;49161;47.719309;-0.672458;Route (nationale/départ.)||RN 162||3##Itinéraire de randonnée||VéloFrancette V23||0;;;02 41 95 14 32;;contact@anjousportnature.com;https://anjousportnature.com/nos-activites/accrobranche/;Facebook||https://fr-fr.facebook.com/pages/Anjou-Sport-Nature/173489372666782##Instagram||https://www.instagram.com/anjousportnature/;;;non;;;;oui;Pratique libre;;Parcours dans les arbres;;Anglais##Français;;;;;;;;;;;;;;A La Jaille-Yvon, parcours acrobranche avec la base de loisirs multi-activités Anjou Sport Nature sur le chemin de halage de la Mayenne et la véloroute La Vélo Francette®.;LA JAILLE-YVON;LA JAILLE-YVON;non;27/09/2021||01/04/2022||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/04/2022||06/07/2022||Base de loisirs ouverte tous les weekends et jours fériés de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs ouverte tous les jours de 10h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||02/10/2022||Base de loisirs ouverte tous les weekends de 10h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##03/10/2022||31/03/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 41 95 14 32||contact@anjousportnature.com;oui;||https://anjousportnature.qweekle.com/shop/anjou-sport-nature/multi/parcours-acrobranche?lang=fr||||||;"Tarif indiv. enfant||6,50||14,50||Parcours baby 3-5ans (sous surveillance d'un adulte) : 6.50€ - séance d'1h;Tarif junior (6-15ans) 14.50€  - séance de 2h##Tarif indiv. adulte||20,50||||Tarif adulte (16 ans et +) - séance de 2h";non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.719309,-0.672458;Maine-et-Loire
ANJOU WINE TOUR;Formules itinérantes;;;place Kennedy;;49100;ANGERS;;49007;47.46935;-0.55803;;;06 43 92 47 28;;;contact@anjou-winetour.com;http://www.anjou-winetour.com;;;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;18/01/2022||10/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces##Virement;47.46935,-0.55803;Maine-et-Loire
ANJOU-NANTES MONTGOLFIERES;Montgolfière;117 rue Ferdinand de Lesseps;;Z.A. de la Fouquetière;Ancenis;44150;ANCENIS-SAINT-GEREON;;44003;47.369643;-1.198681;Route (nationale/départ.)||RD923||0,55##Autoroute||Autoroute A11 - sortie n°20||1,5##Gare SNCF||Gare d'Ancenis||2,2##Aéroport/aérodrome||Aérodrome Ancenis||1;;;02 41 40 48 04;;anjou@montgolfieres.fr;https://montgolfieres.fr/;Facebook||https://www.facebook.com/ANmontgolfiere/notifications/;;;non;;;;oui;;;;;Anglais##Français##Italien;;non;;non;non;;;;non;non;non;non;;;;;oui;;;oui;||https://montgolfieres.fr/vols/category/vols-simples||||02 40 96 26 26||nantes@montgolfieres.fr;Tarif indiv. adulte||||||En fonction de la saison##Tarif groupe adulte||||||De 4 à 32 passagers;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.369643,-1.198681;Loire-Atlantique
ATELIER D'ARLETTE GILLES;;;;157 rue de la Bernerie;;44210;PORNIC;;44131;47.115537;-2.104171;;;06 86 62 15 46;;;gilles.arlette@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.115537,-2.104171;Loire-Atlantique
ATELIER DE MADEMOISELLE SANGITA;;;;31 ter rue Jean Moulin;;44210;PORNIC;;44131;47.115537;-2.104171;;;06 70 92 18 44;;;mademoisellesangita@gmail.com;http://www.mademoisellesangita.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.115537,-2.104171;Loire-Atlantique
ATELIER FLORENCE CHABRIERES;;;;11 rue des Sablons;;44210;PORNIC;;44131;47.115537;-2.104171;;;06 80 07 60 07;;;fchabrieres@yahoo.fr;http://www.florencechabrieres.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.115537,-2.104171;Loire-Atlantique
KAYAK NOMADE;Base ou club nautique;;;;;44210;PORNIC;;44131;47.115537;-2.104171;;;06 72 88 18 54;;;florent@kayaknomade.fr;http://www.kayaknomade.fr;;;Parking;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux##Espèces;47.115537,-2.104171;Loire-Atlantique
KER BORD DE MER;Bar à thème##Jeux pour enfants##Rosalie##Salle de spectacle;;;17, chaussée du Pays de Retz;;44760;LA BERNERIE-EN-RETZ;;44012;47.081132;-2.038009;;;;06 22 53 60 86;;kerborddemer@gmail.com;https://kerborddemer.fr/agenda-kulturel/;;;Bar##Parking##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;;01/05/2022||30/06/2022||||||||||||||||||||||||||||||18:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||##01/07/2022||30/09/2022||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||;;;;;;Cartes bancaires##Espèces;47.081132,-2.038009;Loire-Atlantique
LA BERNITUDE;Espace de remise en forme;;;28 rue des Courettes;;44760;LA BERNERIE-EN-RETZ;;44012;47.081132;-2.038009;;;;09 71 38 14 28;;contact@labernitude.com;https://www.labernitude.com/;;;Parking##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.081132,-2.038009;Loire-Atlantique
LA FEE BULLEUSE - SAVONNERIE ARTISANALE;;;;Chéméré;;44680;CHAUMES-EN-RETZ;;44005;47.116381;-1.93926;;;;07 68 10 69 43;;contact@lafeebulleuse.fr;http://www.lafeebulleuse.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.116381,-1.93926;Loire-Atlantique
MARIE NOELLE;;;;;;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.180467;-2.149204;;;06 75 78 83 89;;;marienoelle.mm@gmail.com;http://marie-noelle.net;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Ouverture sur RDV uniquement, principalement les week-ends||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.180467,-2.149204;Loire-Atlantique
MÉDIATHÈQUE ESTUAIRE ET SILLON;Bibliothèque-Médiathèque;;;Dans chaque ville de la CCES;;44260;SAVENAY;;44195;47.360387;-1.942908;;A l'abri;;;;;http://www.mediatheques.estuaire-sillon.fr;||http://www.bibliotheques.cc-loiresillon.fr/cc-loiresillon.fr/;Bibliothèque##Médiathèque;Toilettes;non;;;;oui;;;;;Français;;oui;;non;non;;;;oui;non;non;non;;;;;non;;;;;;oui;;47.360387,-1.942908;Loire-Atlantique
AQUABAULE;Piscine;;;Avenue Honoré de Balzac;;44500;LA BAULE-ESCOUBLAC;;44055;47.28191;-2.37928;;;;;;contact@aquabaule.fr;http://www.aquabaule.fr;;;Parking##Toilettes;non;;;;oui;;;;;Anglais##Espagnol;;;;;;;;;;;;;;;;;;02/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.28191,-2.37928;Loire-Atlantique
AQUAFITNESS DE L'ERNÉE;Piscine;;;3 avenue du Général De Gaulle;;53500;ERNEE;;53096;48.298402;-0.931098;Route (nationale/départ.)||N12-RD31||0;;;;;;https://aquafitness.lernee.fr/;;Espace jeux##Location/prêt de vélo;Toilettes;non;;;;oui;;;;;Français;;;;;;;;;;;;;;;;;oui;;AquaFitness de l'Ernée||02 43 05 03 80||aquafitness@lernee.fr;;;Tarif indiv. adulte||||||De nombreux tarifs et possibilités d'abonnement en fonction des envies de chacun...;;Cartes bancaires##Chèques bancaires et postaux;48.298402,-0.931098;Mayenne
ARCHERY GAME SILLÉ AUX TYROLIENNES DE LA FORET;Activités sportives et ludiques;;;Sillé Plage;53, Route Forestières des Chalets;72140;SILLE-LE-GUILLAUME;;72334;48.2136177;-0.1318976;;;06 70 00 01 73;;;;https://www.tyros72.com/;Facebook||https://www.facebook.com/lestyroliennesdelaforet/;;;;;;;oui;Accompagnement;;Tir à l’arc;;Anglais##Français;;;;;;;;;;;;;;Parc aventures des Tyroliennes de la Forêt sur le site de Sillé Plage;SILLE-LE-GUILLAUME;;non;;||06 70 00 01 73||;;;Tarif indiv. enfant||12,00||||Session découverte avec animateur. Durée environ 1 h. 4 personnes minimum.##Tarif indiv. adulte||12,00||||;non;Cartes bancaires##Chèques Vacances##Espèces##Virement;48.2136177,-0.1318976;Sarthe
ARCHERY TAG - L'ORBIÈRE;Activités sportives et ludiques;;;;;;FORCE;;53099;48.03179;-0.71682;;;;02.43.56.63.93;;contact@lorbiere.fr;https://lorbiere.fr/;Facebook||https://www.facebook.com/lorbiere##Instagram||https://www.instagram.com/lorbiere/;;;;;;;oui;;;Tir à l’arc;;Anglais##Français;;;;;;;;;;;;;;;FORCE;FORCE;oui;;;;;Tarif groupe adulte||||15,00||8 à 14 personnes - 1h15 d'activité##Tarif groupe adulte||||18,00||+de 15 personnes TOURNOI;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;48.03179,-0.71682;Mayenne
ASSOCIATION FAMILIALE;;;;Salle du Thouet;Saint-Hilaire Saint-Florent;49400;SAUMUR;;49328;47.26455;-0.09888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.26455,-0.09888;Maine-et-Loire
ASSOCIATION LES AMIS DU NEPAL;Activités sportives et ludiques;;Pratique sur Le Mans et ailleurs;17 rue olivier de serres;;72100;LE MANS;;72181;47.9902042;0.1950236;;;06 32 24 23 63;;;adnpleinair72@gmail.com;https://www.adn-pleinair72.fr;;;;;;;;;Pratique libre;Pédestre;Remise en forme;;Français;;;;;;;;;;;;;;"RANDONNEE PEDESTRE: 1 à 2 dimanches par mois)- Quelques randonnées à la journée- séjours we  et vacances ..;MARCHE NORDIQUE: Séance le lundi après-midi de 14h à 15h30  et  jeudi matin 9h30 dans les bois de l'Epau.;MARCHE  CONSCIENTE et TAICHI  1 dimanche apres midi  par mois. petit parcours .";le Mans;Le mans;oui;;;;;Tarif indiv. adulte||49,00||49,00||cotisation + licence##Tarif indiv. réduit||25,00||25,00||cotisation seule pour licencié ffrp##Formule famille||96,00||96,00||cotis et licence famille;non;Chèques bancaires et postaux;47.9902042,0.1950236;Sarthe
ATELIER D'ARTTUCHE;;;;1 rue Pasteur;Sainte Marie;44210;PORNIC;;44131;47.11252;-2.13103;;;;06 37 50 60 50;;arttuchesakanyan@gmail.com;http://www.artak-sakanyan.com/;;Boutique;Bar##Parking##Restaurant##Toilettes;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Espèces;47.11252,-2.13103;Loire-Atlantique
ATELIER DE LA SOURCE;;;;3 Corniche de Port-Meleu;;44770;PREFAILLES;;44136;47.12516;-2.20862;;;06 33 22 04 88;;;cathcha.puy@orange.fr;http://crcharlemagne.jimdofree.com;;;Parking##Restaurant##Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00||11:00||13:00||15:00||18:00;;;;;;Chèques bancaires et postaux##Espèces;47.12516,-2.20862;Loire-Atlantique
ATELIER DE PIERRICK TUAL;;;;11 rue des Barelles;;44210;PORNIC;;44131;47.119;-2.10964;;;;06 60 43 69 46;;tual.pierrick@wanadoo.fr;;;Boutique;Bar##Restaurant;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux##Espèces;47.119,-2.10964;Loire-Atlantique
ATELIERS AU MUSÉE LA MAISON DE LA PÊCHE;;;;Port de Pêche;au-dessus du centre marée;44420;LA TURBALLE;;44211;47.34751;-2.513;;;;02 40 24 34 44;;contact@labaule-guerande.com;https://augredesvents44.fr/;;;;non;;;;;;;;;Anglais;;;;;;;;;;;;;;;;;;16/04/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.34751,-2.513;Loire-Atlantique
ATLANTIC SURF ACADEMY;;;;Plage de Gohaud;Route de Gohaud;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.19073;-2.16137;;;;07 83 73 11 00;;atlanticsurfacademy@gmail.com;http://atlanticsurfacademy.fr;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.19073,-2.16137;
ATOUE LOIRE;Bateaux promenade;;;cale de la Savatte;;49100;ANGERS;;49007;47.47218;-0.56147;;;06 85 40 26 23;;;atoueloire.gabare@yahoo.fr;http://www.atoueloire.com;Facebook||https://www.facebook.com/AtoueLoireAudrey;;;;;La Loire à vélo;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Espèces##Virement;47.47218,-0.56147;Maine-et-Loire
ATTELAGE ET ANIMATIONS PONEYS;Formules itinérantes;;;25 rue du logis des bois;SAINT-SATURNIN-SUR-LOIRE;49320;BRISSAC LOIRE AUBANCE;;49050;47.3988164;-0.4454997;;En extérieur ombragé##En extérieur soleil;06 08 55 45 10;;;attelages.logisdesbois@gmail.com;http://www.attelages-logisdesbois.org/;Facebook||https://www.facebook.com/Attelages-du-Logis-des-Bois-1715173415427871/;;;oui;;;;oui;Accompagnement;;;;Anglais##Espagnol##Français;;;;;;;;;;;;;;Nous proposons des animations et balades montées ou attelées avec nos poneys shetland;saint saturnin sur loire;saint saturnin sur loire;oui;;Véronique SAVARY||06 08 55 45 10||attelages.logisdesbois@gmail.com;;;;non;Chèques bancaires et postaux##Espèces;47.3988164,-0.4454997;Maine-et-Loire
AVENUE DES ARTS;Complexe de loisirs;;;12 Avenue de la République;;44600;SAINT-NAZAIRE;;44184;47.275254;-2.213239;Transport en commun||Ligne: Hélice / Arrêt: Hôtel de Ville||0,15;A l'abri;;02 40 24 17 73;;contact@avenue-des-arts.fr;http://avenue-des-arts.fr/;Facebook||https://www.facebook.com/pg/avenuedesartssaintnazaire/about/?ref=page_internal##Instagram||https://www.instagram.com/avenuedesarts.stnazaire/;Boutique;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert du mardi au samedi de 10h à 12h30 et de 14h à 18h30||Fermé le dimanche, lundi et jours fériés||||||||||10:00||12:30||14:00||18:30||10:00||12:30||14:00||18:30||10:00||12:30||14:00||18:30||10:00||12:30||14:00||18:30||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.275254,-2.213239;Loire-Atlantique
AVF LA BAULE;Base ou club nautique;;;5 avenue Honoré de Balzac;;44500;LA BAULE-ESCOUBLAC;;44055;47.28237;-2.37859;;;;02 40 11 94 93;;a.v.f.labaule@orange.fr;http://reseau.avf.asso.fr/space/avflabaule;;;Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux;47.28237,-2.37859;Loire-Atlantique
BAIGNADE SURVEILLÉE EN JUILLET ET EN AOUT;Activités sportives et ludiques;;;Sillé Plage;;72140;SILLE-LE-GUILLAUME;;72334;48.2122262;-0.1295551;Gare SNCF||Sillé le Guillaume||4;;;02 43 20 26 36;;mairie@sille-le-guillaume.fr;https://www.sille-le-guillaume.fr/la-baignade/;;;;non;Les animaux sont interdits sur la plage;;;oui;Pratique libre;;;;Anglais##Français;;;;;;;;;;;;;;Plage de Sillé Plage;Sillé le Guillaume;SILLE LE GUILLAUME;non;;;;;;oui;;48.2122262,-0.1295551;Sarthe
