nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
EPICERIE-BAR À L'ANCIENNE LA RÉSERVE;"Bières;Confiture;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Produits du terroir (boutique);Viande;Vins;Volailles / Oeufs";;;33 Rue Nationale;;72200;;CLERMONT-CREANS;;72084;47.717566;-0.015881;;672198932;02 43 94 63 12;;;https://www.donnesebastientraiteur.fr/;;;;;Agro-alimentaire;;;;;oui;;;Français;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.717566,-0.015881;Sarthe
ATELIER VERONIQUE LESAGE;"Peinture;Sculpture";;;10 place des halles;;72260;;RENE;;72251;48.2788498;0.22256592;;682076837;;;v.lesage.artiste@wanadoo.fr;http://www.veronique-lesage-artiste.com;;;;;Artisanat / Art;;;oui;petits chiens tenus en laisse;oui;10;1;Français;;non;non;oui;00h15;00h20;oui;oui;oui;oui;oui;oui;Français;oui;;oui;||||visites sur rendez-vous et lors d'expositions||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;"Véronique Lesage||06 82 07 68 37||v.lesage.artiste@wanadoo.fr;Véronique Lesage||06 82 07 68 37||v.lesage.artiste@wanadoo.fr";;;oui;;Chèques bancaires et postaux;48.2788498,0.22256592;Sarthe
FERME DE L'AUBERDIERE;Glace;;;L'Auberdière;;72120;;MONTAILLE;;72204;47.9509813;0.6678877;;648259159;;;irmafroger@gmail.com;www.fermedelauberdiere.fr;;;;;Agro-alimentaire;Bienvenue à la Ferme;;;;oui;50;20;"Allemand;Anglais;Espagnol;Français;Italien";;oui;oui;;;;non;oui;non;;non;non;;non;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9509813,0.6678877;Sarthe
GERARD BOUCHER - PEINTRE;Peinture;La Charmoie;;;;72320;;GREEZ-SUR-ROC;;72144;48.1257733;0.79524532;"Autoroute||A11||5;Gare SNCF||La Ferté Bernard||20;Route (nationale/départ.)||D14||2";;07 80 34 49 03;;gerard@atelierboucher.fr;http://www.atelierboucher.fr;;;;;Artisanat / Art;;;non;;oui;20;;Français;;non;non;oui;;;oui;oui;oui;oui;oui;;Français;oui;;oui;;;;;oui;;;48.1257733,0.79524532;Sarthe
BRASSERIE BARREAU;Bières;;;ZAC Les truberdières;Lieu Dit les Truberdieres;72220;;ECOMMOY;;72124;47.8197699;0.30240746;Autoroute||A28 sortie 25||0;626805600;;;contact@lacorderaide.fr;www.brasseriebarreau.com;;;Facebook||https://www.facebook.com/lacorderaide/;;Artisanat / Art;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||16:00||20:30||||||16:00||20:30||||||16:00||20:30||||||||||||;;;;oui;;;47.8197699,0.30240746;Sarthe
LES DELICES DE LA FERME;"Bières;Confiture;Produits cidricoles / Jus de fruit";;;rue de Sillé;l'Hommeau;72650;;AIGNE;;72001;48.0674918;0.13212759;"Autoroute||Sortie Le Mans nord||7;Gare SNCF||||15;Transport en commun||SETRAM LIGNE 20 Arrêt le Houx||";;02.43.25.30.82;;delicesdelaferme@orange.fr;https://lesdelicesdelaferme72.blogspot.com;;;"Facebook||https://www.facebook.com/pages/Les-Delices-de-la-Ferme/229448197256805;Facebook||http://www.facebook.com/olivier.gasnier.5;Twitter||https://twitter.com/delicesdelaferm;Google+||https://plus.google.com/104419525522293224523?hl=fr";;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;non;;oui;60;20;;;;oui;oui;;1h;;non;;oui;;;"Français;Allemand";;;oui;"||||horaires ouverture boutique||fermé le week end et lundi ,venez nous retrouver sur les animations extérieures ou au 06.11.30.78.01||||||||||10:00||12:00||14:00||17:00||10:00||13:00||||||10:00||12:00||14:00||17:00||10:00||||||19:00||||||||||||||||;||||MARDI,MERCREDI,JEUDI ,VENDREDI||FERMETURE SAMEDI DIMANCHE ET LUNDI ||||||||||10:00||13:00||14:00||15:00||10:00||13:00||||||10:00||13:00||14:00||17:00||10:00||13:00||14:00||19:00||||||||||||||||";;;;;;Chèques bancaires et postaux;48.0674918,0.13212759;Sarthe
CHOCOLATIER PÂTISSIER VINCENT BESNARD L'ART DE LA CABOSSE;"Biscuit;Confiserie / chocolat;Glace;Pain / Pâtisserie;Produits du terroir (boutique)";5 rue Vincent Scotto;ZAC du Ribay;;;72000;;LE MANS;;72181;48.015843;0.142861;"Autoroute||Sortie n°8 Le Mans Université||1;Route (nationale/départ.)||rue de Beaugé||;Route (nationale/départ.)||futur rond-point de la Foresterie||;Route (nationale/départ.)||Rouillon ||;Route (nationale/départ.)||Le Mans||";;09 79 05 82 21;;contact@lartdelacabosse.fr;www.lartdelacabosse.fr;https://www.youtube.com/watch?v=elW2Z6RRYJw;;"Instagram||https://www.instagram.com/lartdelacabosse/?hl=fr;Facebook||https://www.facebook.com/lartdelacabossechocolatierpatissier/?ref=aymt_homepage_panel&eid=ARCZ1nLLy9BgL7EOhvyDlb-gXTRsMNgQvfJEFvUbZs0QSVp76F3Kv7s6LHrCX_5Rl6RdHhKEUE5xyvUf";;"Agro-alimentaire;Artisanat / Art";;;non;;;0;0;Français;;;;oui;;;;;non;;non;;Français;non;Proposition clientèle||DEG878000529;oui;;;;;oui;;"Cartes bancaires;Espèces;Tickets Restaurant";48.015843,0.142861;Sarthe
L'ÉCHOPPE A PORCELAINE;"Art de la table;Peinture";;;12, rue Carnot;;72270;;MALICORNE-SUR-SARTHE;;72179;47.8140632;-0.086972;"Autoroute||||10;Gare SNCF||Sablé sur Sarthe||20;Halte fluviale||Malicorne sur Sarthe||0,1";;06 79 66 42 91;;laurencemazerat@orange.fr;;;;"Facebook||https://www.facebook.com/LEchoppe-%C3%A0-Porcelaine-789579194461471;Instagram||https://www.instagram.com/l_echoppe_a_porcelaine/";;Artisanat / Art;;;non;;oui;15;;Anglais;;;non;oui;;;;;oui;;;;Français;oui;;oui;01/01/2022||31/12/2022||Sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.8140632,-0.086972;Sarthe
DISTILLERIE DU SONNEUR;Spiritueux;;;7 rue du Vert Galant;;72000;;LE MANS;;72181;48.0039968;0.1930338;"Gare SNCF||Gare SNCF du Mans Nord||1,4;Transport en commun||Arrêt de Tramway T1 - Eperon||0,14";;02 72 91 56 74;;tourisme.distilleriedusonneur@gmail.com;http://www.distillerie-dusonneur.com;;;"Facebook||https://d.facebook.com/Distillerie-du-Sonneur-2134288649964999/;Twitter||https://twitter.com/DSonneur;Instagram||https://www.instagram.com/dsonneur/;||https://www.linkedin.com/company/distillerie-du-sonneur;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g187195-d17165530-Reviews-Distillerie_du_Sonneur-Le_Mans_Sarthe_Pays_de_la_Loire.html";;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;65;10;"Anglais;Français";;oui;oui;;1h45;1h45;oui;oui;non;;oui;oui;"Français;Anglais";non;;oui;03/02/2022||31/12/2022||Ouvert du mardi au samedi de 14h à 19h||Fermé les dimanches, lundis et jours fériés||||||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||||||||;"PEUVION Claire||02 72 91 56 74||tourisme.distilleriedusonneur@gmail.com;Claire Peuvion||02 72 91 56 74||tourisme.distilleriedusonneur@gmail.com;Claire Peuvion||02 72 91 56 74||tourisme.distilleriedusonneur@gmail.com";;;non;"Tarif indiv. adulte||6,00||18,00||6 euros pour la visite Initiation;18 euros pour la visite Equilibre;Tarif indiv. réduit||13,00||13,00||13 euros formule sans alcool pour l'Equilibre;Tarif indiv. enfant||2,00||2,00||2 euros pour la visite Initiation pour les 10-18 ans, gratuit -10 ans;13 euros pour la formule sans alcool de l'Equilibre, gratuit -10ans (seulement verre de jus de fruit, pas d'amuses-bouches).;Tarif groupe adulte||6,00||7,20||6 euros pour visite groupe, basée sur l'Initiation";"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";48.0039968,0.1930338;Sarthe
BOUTIQUE DES FAIENCERIES D'ART DE MALICORNE;Céramique, faïence, émail;;;18, rue Bernard Palissy;;72270;;MALICORNE-SUR-SARTHE;;72179;47.8141665;-0.076572;"Route (nationale/départ.)||D23 La Suze / Malicorne||0,5;Autoroute||A11 Sortie La Flèche / Sablé||5;Gare SNCF||Le Mans||30;Halte fluviale||Rivière Sarthe||1";;02 43 94 81 18;02 43 94 73 03;fam.malicorne@orange.fr;http://faiencerie-malicorne.com;;;"Facebook||https://www.facebook.com/pages/Fa%C3%AFencerie-dArt-de-Malicorne/156900484352721?ref=bookmarks;Twitter||https://twitter.com/FAMMalicorne;Instagram||https://www.instagram.com/faienceriesdartdemalicorne/";;Artisanat / Art;;;non;;oui;100;30;"Anglais;Français";;non;non;oui;45 mn;45 mn;oui;oui;non;;oui;;"Français;Anglais";non;Partenariat||DEGPDL072V500UV5;oui;01/01/2022||31/12/2022||Ouvert du mardi au samedi||||||||||||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||||||||;||02.43.94.81.18||fam.malicorne@wanadoo.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.8141665,-0.076572;Sarthe
FERME DE LA VILLIERE - VENTE DE TERRINES ET VIANDE;Viande;;;;La Villière;72140;Sillé le Guillaume;LE GREZ;;72145;48.1827621;-0.1559848;"Route (nationale/départ.)||D304||1,5;Autoroute||A28 sortie n°20||20;Gare SNCF||Sillé le Guillaume||2";611820098;;;fermedelavilliere@laposte.net;https://www.lafermedelavilliere.com/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;oui;Si tenu en laisse ou maitrisé à la voix;non;;;"Anglais;Français";;;;oui;;;non;non;non;non;;;Français;;;oui;;"Guillot Catherine||02 43 20 13 76||fermedelavilliere@laposte.net;Guillot Catherine ||06 11 82 00 98||";||https://www.local.bio/ferme-de-madame-catherine-launay||||||;oui;non;;Chèques bancaires et postaux;48.1827621,-0.1559848;Sarthe
BROC ANTIC 72;"Art de la table;Décoration d'intérieur";;;15 Rue Émile Simon;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7310411;0.56785557;Route (nationale/départ.)||D305||;;;;06 03 67 45 21;;;;;;Artisanat / Art;;;oui;;oui;;;Français;;;;;;;;;oui;;;;Français;;;oui;;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.7310411,0.56785557;Sarthe
ATELIER DE MEUBLES PEINTS;;;;8 rue des coteaux;Poncé sur le Loir;72340;;LOIR EN VALLÉE;;72262;47.7626527;0.66142869;"Route (nationale/départ.)||D305||0;Autoroute||A28 (Château-du-Loir)||25;Aéroport/aérodrome||Le Mans||52;Gare SNCF||Château du Loir (Le Mans-Tours)||24;Gare routière||Château du Loir||24";689236020;;;pierrejean.michaux@wanadoo.fr;http://www.michaux.wjl.fr;;;;;Artisanat / Art;;;non;;oui;10;;;;non;;oui;;;non;;non;;oui;oui;Français;;;;;;;;oui;;Chèques bancaires et postaux;47.7626527,0.66142869;Sarthe
BOUCHERIE À LA FERME;Viande;Ferme de L'Argencière;;;;72400;;LA CHAPELLE-DU-BOIS;;72062;48.220685;0.591735;"Route (nationale/départ.)||RD323||10;Autoroute||A11||15;Gare SNCF||Gare La Ferté Bernard||5";683138465;02 43 93 17 01;;corbingilles@orange.fr;http://www.marchefermier.fr/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;oui;;oui;;;"Anglais;Français";;;non;oui;;;oui;oui;non;oui;oui;oui;Français;non;;oui;;Gilles CORBIN||02 43 93 17 01||corbingilles@wanadoo.fr;;;;;Chèques bancaires et postaux;48.220685,0.591735;Sarthe
ETIENNE RENVOIZÉ;Fruits / légumes;;;;;72400;;SAINT-AUBIN-DES-COUDRAIS;;72267;48.17271;0.58527;;601644620;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.17271,0.58527;Sarthe
DANIELLE WILLOQUEAUX-LACOSTE - PEINTURE;Peinture;;;;;72470;;SAINT-MARS-LA-BRIERE;;72300;48.0290466;0.3702594;;;;;daniellewilloqueaux@gmail.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0290466,0.3702594;Sarthe
FERME DE BEAUSSAY;"Confiture;Fromage et produit laitier";;;;Beaussay;72220;;ECOMMOY;;72124;47.8122688;0.30136855;;632142954;02 43 83 03 85;;fermedebeaussay@orange.fr;www.fermedebeaussay.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;oui;;;;;;;"Proposition clientèle||DEG878000564;Proposition clientèle||DEGPDL072V5001ET";;;;;;;;;47.8122688,0.30136855;Sarthe
CHEVRERIE DU CHENE BEUNARD;Fromage et produit laitier;;;;Chêne Beunard;72210;;VOIVRES-LES-LE-MANS;;72381;47.9246379;0.044605;;612262320;06 12 26 23 20;;;;;;Facebook||https://www.facebook.com/La-ch%C3%A8vrerie-du-ch%C3%AAne-beunard-1132270503485049;;Agro-alimentaire;Agriculture Biologique (AB);;oui;;;;;Français;;;;oui;;;;;;;;;;;;non;01/03/2022||30/11/2022||||||||||||||||||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9246379,0.044605;Sarthe
FABIENNE ET MICKAEL RUEL - LE TANDEM;Viande;;;;Guerespeigné;72110;;SAINT-GEORGES-DU-ROSAY;;72281;48.198543;0.49966;;613690584;;;letandem.72@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;oui;oui;;;non;oui;non;;non;oui;Français;non;;oui;;M. ET MME RUEL||06 13 69 05 84||;;;;;Chèques bancaires et postaux;48.198543,0.49966;Sarthe
FERME DE LA FORGE;"Rillettes;Salaisons;Viande";;;;la forge;72260;;MAROLLES-LES-BRAULTS;;72189;48.2516122;0.3034012;;;243974134;;fermedelaforge@hotmail.fr;www.fermedelaforge.fr;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";48.2516122,0.3034012;Sarthe
FERME DE LA MORINIERE;Viande;;;;La Morinière;72800;;SAINT-GERMAIN-D'ARCE;;72283;47.600951;0.2968157;;682378447;;;pmloyau@orange.fr;;;;Facebook||https://www.facebook.com/Ferme-de-la-Moriniere-1612087905764072/;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.600951,0.2968157;Sarthe
LES PELOTES À PATTES;"Elevage;Laine;Textile / Habillement / Chaussure";;;;le bois de la pointe;72210;;ROEZE-SUR-SARTHE;;72253;47.8624;0.08795;;611261210;;;beaufils.marie@yahoo.fr;;;;Facebook||https://www.facebook.com/PelotesAPattes;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;oui;;;;oui;01/01/2022||31/12/2022||Visite de l'élevage et de la boutique uniquement sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8624,0.08795;Sarthe
BERGERIE FROMAGERIE LES DEUX EVES;Fromage et produit laitier;;;;Les deux Eves;72800;;SAVIGNE-SOUS-LE-LUDE;;72330;47.6410661;0.03024771;;786419876;02 43 45 34 54;;nicofleurance1@gmail.com;;https://www.youtube.com/watch?v=NisPlWuV0Ko;;Facebook||https://www.facebook.com/bergeriefromagerielesdeuxeves/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;oui;;;47.6410661,0.03024771;Sarthe
FERME DES ALIZÉS;"Produits du terroir (boutique);Rillettes;Viande;Volailles / Oeufs";;;;Mérolles;72540;;VALLON-SUR-GEE;;72367;47.9517295;-0.0994741;;673556710;;;gaeclesalizes@gmail.com;http://www.ferme-les-alizes-72.com/;https://youtu.be/BwvviQ8tCfA;;"Facebook||https://www.facebook.com/gaeclesalizes/;Instagram||https://www.instagram.com/gaec_les_alizes/?fbclid=IwAR1mQ2Gi8qU9VHZYwG07UOxJPbUzsmD0oTj9OjJWkldUwypBDb_jDUIr2Ws";;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;Français;;oui;oui;oui;;;;oui;non;oui;;oui;Français;non;;;01/01/2022||31/12/2022||Ouvert pendant nos ventes (1 fois par mois pour la viande rouge et le veau de sept à mars) et sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.9517295,-0.0994741;Sarthe
ATELIER VÉZANNE;Bijou;;;2 Rue Hoche;;72270;;MALICORNE-SUR-SARTHE;;72179;47.81376;-0.08763;;677117870;;;contact@vezanne.com;https://vezanne.fr/;;;"Facebook||https://www.facebook.com/ateliervezanne/;Instagram||https://www.instagram.com/ateliervezanne/";;Artisanat / Art;;;oui;;;;;"Anglais;Espagnol;Français";;;;oui;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||Atelier ouvert sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.81376,-0.08763;Sarthe
FANE DE LÉGUMES;Fruits / légumes;;;la petite Jevellerie;;72110;;BONNETABLE;;72039;48.194076;0.46094302;;243296407;;;fdl72110@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.194076,0.46094302;Sarthe
LE RUCHER PÉTRIORMOIS;Produits apicoles;;;La Robillarderie;;72600;;SAINT-PIERRE-DES-ORMES;;72313;48.303488;0.42393;;670205602;;;;https://www.facebook.com/lerucherpetriormois;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.303488,0.42393;Sarthe
CHIC TENTATION;"Bijou;Textile / Habillement / Chaussure";;;Le Bourg;;72600;;VILLAINES-LA-CARELLE;;72374;48.3749678;0.28619556;;607107451;02 43 34 58 14;;;https://chic-tentation.com/;;;;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;48.3749678,0.28619556;Sarthe
FERME DE LA GOURDAINE;Viande;;;Lieu Dit la Gourdaine;;72550;;DEGRE;;72113;48.04907;0.053599;;624263228;;;fermedelagourdaine@gmail.com;https://www.fermedelagourdaine.fr/;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;||https://www.local.bio/ferme-de-la-gourdaine||||||;oui;;;;48.04907,0.053599;Sarthe
BROCANTE LA TABLE BROUETTE;;;;Lieu-dit La Pommeraie;;72340;;CHAHAIGNES;;72052;47.75391;0.51756;;782594152;;;latablebrouette@orange.fr;https://latablebrouette.fr;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.75391,0.51756;Sarthe
FRANCK DOMAIN - TAILLEUR DE PIERRE;Pierre, ardoise / sable;30, Grande Rue;;;;72320;;MELLERAY;;72193;48.099362;0.797816;;620345087;;;contact@atelierfranckdomain.fr;www.atelierfranckdomain.fr;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.099362,0.797816;Sarthe
L'INSTANT CHOCOLAT;Confiserie / chocolat;33, rue d'Huisne;;;;72400;;LA FERTE-BERNARD;;72132;48.1862711;0.65236185;;;02 43 71 52 17;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||12:30||||;;;;;;;48.1862711,0.65236185;Sarthe
MARIE JANVIER - MODISTE;Textile / Habillement / Chaussure;79 rue Nationale;;;;72440;;;;72042;47.97297;0.55413;;634224222;;;contact@mariejanvier.com;http://mariejanvier.com/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.97297,0.55413;Sarthe
BRASSERIE SAINT MARS LA BIERE;Bières;8 chemin de la Crépinière;;;;72470;;SAINT-MARS-LA-BRIERE;;72300;48.032136;0.380086;;679097645;;;brasseriesaintmarslabiere@gmail.com;;;;;;Agro-alimentaire;Agriculture Biologique (AB);;non;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.032136,0.380086;Sarthe
JOËL BERNARD - PEINTURE;Peinture;Bricougères;;;;72320;;LAMNAY;;72156;48.11601;0.70328;;;02 43 71 95 87;;jobernard72@laposte.net;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.11601,0.70328;Sarthe
YVONNE DEMONCHY - PEINTURE;Peinture;La sapinière;;;;72370;;LE BREIL-SUR-MERIZE;;72046;48.009836;0.478574;;;02 43 89 28 93;;yvonne.demonchy@wanadoo.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.009836,0.478574;Sarthe
LES JARDINS DE SOUVRE;"Fruits / légumes;Plantes et fleurs";Lieu-dit la Chapellerie;;;;72240;;BERNAY-NEUVY-EN-CHAMPAGNE;;72219;48.0805916;-0.0419135;;;;;lesjardinsdesouvre@gmail.com;http://lesjardinsdesouvre.com/;;;"Facebook||https://www.facebook.com/lesjardinsde.souvre.10;Instagram||https://www.instagram.com/lesjardinsdesouvre/";;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.0805916,-0.0419135;Sarthe
LA MIELLERIE DE TROMPESOURIS - KENNY POISSON;;Trompesouris;;;;72390;;LAVARE;;72158;48.04222;0.669378;;;02 44 32 16 58;;geubich_72@hotmail.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.04222,0.669378;Sarthe
C A LA FERME;"Confiture;Fromage et produit laitier;Fruits / légumes;Glace;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Volailles / Oeufs";;;;Lieu Dit la Tournerie;72650;;LA BAZOGE;;72024;48.126752;0.13438;;683125169;;;lesfromagesdeceline@calaferme.com;http://www.calaferme.com/;;;Facebook||https://www.facebook.com/lesfromagesdeceline;;Agriculture / horticulture / Pêche;;;;;non;;;;;;;oui;;;;;;;non;non;Français;non;Proposition clientèle||DEGPDL072V50D4AT;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.126752,0.13438;Sarthe
FERME DE L'AUNAY;Produits apicoles;;;;LIEU DIT L'AUNAY;72240;;TENNIE;;72351;48.107597;-0.080038;;679128443;;;altimehus@hotmail.fr;;;;;;Agro-alimentaire;;;oui;;oui;;;Français;;;oui;oui;;1;;oui;oui;oui;;oui;Anglais;oui;;oui;||||sur réservation uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Bertrand Jean-Baptiste||06 79 12 84 43||altimehus@hotmail.fr;;;oui;;Chèques bancaires et postaux;48.107597,-0.080038;Sarthe
MAISON LEROY;"Bières;Biscuit;Confiserie / chocolat;Confiture;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Huile;Produits apicoles;Produits cidricoles / Jus de fruit;Rillettes;Vins";;;;Lieu-dit Le Chataîgnier;72330;;OIZE;;72226;47.8153792;0.1207399;;;02 43 87 22 29;;accueil@maison-leroy.fr;www.maison-leroy.fr;;;"Facebook||https://www.facebook.com/maison.leroy.oize;Instagram||https://www.instagram.com/maisonleroyoize/?hl=fr";;Agriculture / horticulture / Pêche;"Agriculture Biologique (AB);Bienvenue à la Ferme;Haute valeur environnementale (HVE)";;non;;oui;;;Français;;;non;oui;;;non;oui;non;;non;non;Français;non;;oui;01/01/2022||31/12/2022||||||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||10:00||12:00||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8153792,0.1207399;Sarthe
FERME DE LA GRANDE CHOUANNIERE;Fromage et produit laitier;;;La Grande Chouannière;;72170;;SEGRIE;;72332;48.2123439;0.01115717;;698169066;06 98 16 90 66;;beatrice.jacqueline@laposte.net;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;;;"Anglais;Français";;;non;oui;30min;40min;;oui;;oui;;oui;Français;;;non;;;;;oui;;Chèques bancaires et postaux;48.2123439,0.01115717;Sarthe
FERME DE LA HAIE - ÉLEVAGE DE CERFS;"Produits du terroir (boutique);Viande;Volailles / Oeufs";La Haie;;;;72400;;VILLAINES-LA-GONAIS;;72375;48.134844;0.600468;;;02 43 93 42 84;;contact@cerfduperche.com;http://www.cerfduperche.com/;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;oui;;oui;;;Français;;;oui;oui;;;;oui;;;;;Français;;;oui;;M. ET MME VADE||02 43 93 42 84||;;;;;;48.134844,0.600468;Sarthe
ATELIER DE CONSERVATION RESTAURATION D'OEUVRES PEINTES;Peinture;;;10 rue Principale;Poncé sur le Loir;72340;;LOIR EN VALLÉE;;72262;47.7617619;0.6555582;;670901473;;;m-castel@hotmail.fr;http://www.castel-sehic.fr;;;;;Artisanat / Art;Métiers d'art;;non;;oui;10;;"Allemand;Anglais;Français";;;;;30 mn;30 mn;oui;oui;non;;oui;oui;"Français;Allemand;Anglais";non;;;;;;;oui;;;47.7617619,0.6555582;Sarthe
L'ATELIER DU TEMPLE;Céramique, faïence, émail;;;4 rue du Temple;;72350;;POILLE-SUR-VEGRE;;72239;47.9174377;-0.2627108;;670993194;02 43 92 15 21;;edith.eyraud@orange.fr;http://www.eyro.fr;;;;;Artisanat / Art;;;;;oui;10;;;;;;oui;1h;1h;;oui;;;;oui;;;;;01/01/2022||31/12/2022||Sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.9174377,-0.2627108;Sarthe
